"代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率","涨跌速率","振幅","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前价","盘后价","盘前涨跌幅","盘后涨跌幅","盘前额","盘后额","盘前振幅","盘后振幅","盘前涨跌额","盘后涨跌额","总市值","流通值","总股本","流通股","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业","道琼斯指数相关性","纳斯达克100相关性","标普500相关性","罗素2000相关性","费城半导体指数相关性","VIX指数相关性","恒生指数相关性","恒生科技指数相关性","富时中国50指数相关性","沪深300相关性","富时中国A50指数相关性","日经225相关性","TOPIX指数相关性","富时海峡指数相关性","大马综合指数相关性","TSX相关性","ASX200相关性","期权总成交","期权总持仓","正股IV","正股HV","正股IV-正股HV","IV等级","IV百分位数","行权价","到期日","未平仓数","溢价","隐含波动率","Delta","Gamma","Theta","Vega","Rho","距到期日","内在价值","时间价值","杠杆倍数","有效杠杆","盈亏平衡点","到盈亏平衡","盈利概率"
"RELY","Remitly Global","17.385","+0.115","+0.67%","+0.06%","-12.99%","-22.97%","17.380","17.390","110","246","566568","9785137.70","0.000%","17.260","17.270","17.400","17.090","0.34%","0.00%","1.80%","亏损","亏损","4.898","0.78","-38.20%","17.260","17.350","-0.06%","+0.46%","15025.96","1815972.56","1.16","0.58","-0.010","+0.080","3544081621.92","2904637156.77","203858592","167077202","-0.43%","-5.26%","-12.55%","-26.02%","+28.97%","软件基础设施","0.26","0.25","0.26","0.28","0.17","-0.23","-","-","-","-","-","-","-","-","-","-","-","27","52972","72.11%","29.83%","42.28%","57","76%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SPCE","维珍银河","4.139","-0.171","-3.97%","+2.95%","+43.71%","-29.61%","4.130","4.140","1601","2300","3946143","16552203.21","0.000%","4.300","4.310","4.530","3.980","9.90%","-0.13%","12.76%","亏损","亏损","0.632","2.86","-17.92%","4.400","4.240","+2.09%","-1.62%","527812.13","577220.17","4.64","2.55","+0.090","-0.070","172069968.49","165037389.88","41574845","39875662","+30.97%","+49.42%","+40.30%","-9.63%","-41.21%","航空航天与国防","0.32","0.30","0.33","0.47","0.30","-0.26","-","-","-","-","-","-","-","-","-","-","-","12732","295659","145.02%","74.36%","70.67%","22","82%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CLF","克利夫兰克里夫","11.280","+0.620","+5.82%","-1.73%","+42.60%","+20.00%","11.260","11.270","1101","400","19525739","226687750.71","0.000%","11.240","10.660","11.960","11.180","4.02%","-0.27%","7.32%","亏损","亏损","0.923","3.69","46.70%","11.300","10.761","+6.00%","+0.94%","4813232.20","13561983.30","5.25","3.56","+0.640","+0.101","5579721969.84","5475134509.20","494656203","485384265","+24.37%","+27.03%","+63.01%","+11.35%","-25.84%","钢","0.46","0.43","0.47","0.51","0.41","-0.38","-","-","-","-","-","-","-","-","-","-","-","49360","843877","75.14%","71.22%","3.92%","39","65%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UPXI","Upexi","7.450","-0.700","-8.59%","-1.19%","-44.90%","+112.25%","7.420","7.470","20005","100","8200194","64831379.21","0.000%","8.500","8.150","8.599","7.350","19.92%","-1.29%","15.33%","亏损","亏损","219.117","2.06","99.01%","8.570","8.410","+5.15%","+3.19%","5602049.37","8220884.30","9.69","13.50","+0.420","+0.260","400753841.90","306629297.75","53792462","41158295","+43.27%","+80.39%","-25.50%","+91.03%","-11.10%","互联网内容与信息","-0.07","-0.01","-0.04","-0.02","0.02","0.03","-","-","-","-","-","-","-","-","-","-","-","9299","112497","232.02%","390.54%","-158.52%","15","50%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SLDP","Solid Power","3.802","+0.072","+1.92%","+1.92%","+233.46%","+101.14%","3.800","3.810","594","683","8226275","30918276.94","0.000%","3.515","3.730","4.000","3.452","5.54%","-0.42%","14.69%","亏损","亏损","1.717","2.31","-6.97%","3.450","3.808","-7.51%","+2.10%","1694815.36","1285498.62","9.65","3.22","-0.280","+0.078","681844939.52","564532291.76","179362078","148502510","+19.54%","+51.45%","+104.38%","+155.13%","+82.76%","汽车零件","0.28","0.27","0.30","0.43","0.27","-0.22","-","-","-","-","-","-","-","-","-","-","-","1195","69340","131.81%","112.12%","19.69%","19","68%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SNOW","Snowflake","214.090","-1.560","-0.72%","+0.16%","+34.94%","+38.65%","213.920","214.260","142","102","685773","146388523.65","0.000%","214.720","215.650","216.540","211.400","0.22%","-0.01%","2.38%","亏损","亏损","29.668","1.35","16.39%","214.780","215.407","-0.40%","-0.11%","797844.61","44123716.98","0.77","0.30","-0.870","-0.243","71441833000.00","67375792473.82","333700000","314707798","+0.61%","-4.21%","+0.18%","+13.87%","+63.24%","应用软件","0.47","0.54","0.52","0.46","0.45","-0.42","-","-","-","-","-","-","-","-","-","-","-","10785","433797","48.08%","28.75%","19.33%","33","49%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AXON","Axon Enterprise","739.000","-12.550","-1.67%","+0.48%","+25.11%","+24.34%","736.900","739.490","3","1","107600","79474606.91","0.000%","749.010","751.550","749.010","729.740","0.15%","0.00%","2.56%","178.072","153.958","22.509","1.59","50.00%","749.010","751.550","-0.34%","0.00%","177922.90","17233593.26","0.53","0.00","-2.540","0.000","57531750068.00","54795669078.00","77850812","74148402","-0.92%","-6.48%","-5.65%","+15.92%","+133.30%","航空航天与国防","0.36","0.38","0.40","0.36","0.31","-0.34","-","-","-","-","-","-","-","-","-","-","-","212","35341","59.23%","46.84%","12.39%","53","83%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DBRG","DigitalBridge Group","10.855","+0.085","+0.79%","+0.28%","+29.35%","-3.57%","10.850","10.860","230","404","201700","2184173.96","0.370%","10.700","10.770","10.940","10.695","0.12%","-0.14%","2.28%","31.926","155.071","1.640","0.74","-27.45%","10.860","10.770","+0.84%","0.00%","32.36","629524.88","2.04","0.28","+0.090","0.000","1913366387.92","1833429733.72","176265904","168901864","+2.60%","+4.27%","+6.53%","+3.99%","-22.51%","资产管理","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35","85556","51.18%","25.05%","26.14%","20","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"HPE","慧与科技","20.555","-0.105","-0.51%","+0.39%","+27.97%","-2.24%","20.550","20.560","600","1737","2463110","50674451.42","2.530%","20.635","20.660","20.695","20.260","0.19%","-0.02%","2.11%","19.764","10.650","1.130","0.96","-48.65%","20.680","20.700","+0.10%","+0.19%","13087174.97","63641493.02","0.90","0.94","+0.020","+0.040","26972592069.10","26834140146.15","1312215620","1305479939","+1.36%","-1.27%","+15.41%","-2.74%","+2.74%","通讯设备","0.50","0.58","0.59","0.56","0.59","-0.47","-","-","-","-","-","-","-","-","-","-","-","1394","492765","33.22%","44.52%","-11.30%","8","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TLN","Talen Energy","305.490","-4.650","-1.50%","+0.33%","+44.78%","+51.63%","305.550","306.080","29","50","480945","145697875.51","0.000%","310.300","310.140","312.340","300.000","1.31%","-0.34%","3.98%","30.888","17.288","11.782","1.43","-26.58%","310.300","313.250","+0.05%","+1.00%","420913.41","14124541.42","1.93","1.24","+0.160","+3.110","13902782692.20","11253765870.90","45509780","36838410","+13.93%","+10.10%","+4.77%","+49.44%","+143.07%","独立电力生产商","0.31","0.47","0.45","0.36","0.48","-0.41","-","-","-","-","-","-","-","-","-","-","-","7159","70954","53.05%","88.11%","-35.06%","20","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
